track_id,track_name,danceability,acousticness,tempo,instrumentalness,energy,key,speechiness,mode,valence,liveness,play_number,playlist_number
7g5z9oXwEGwOPqofm4yj3i,Træns 5,0.566,9.71e-05,124.008,0.281,0.88,7,0.0551,1,0.881,0.089,23,4
38s6iiOu26spsFZKj8BtfM,Demba,0.715,0.114,128.043,0.138,0.639,2,0.104,1,0.522,0.0963,24,4
1Ug6EyZPY7VgW4eO3Z5UFx,Ouin,0.824,0.029,127.024,0.928,0.49,9,0.105,0,0.549,0.108,25,4
3AaGCSpUFAmtB1XGxz5IWk,ATK,0.705,0.00471,127.983,0.855,0.881,7,0.0625,1,0.584,0.0512,1,5
6ilWOSGCIpyRCnVUZsSbEB,Sadhana,0.73,0.045,129.965,0.712,0.891,1,0.0701,1,0.976,0.186,2,5
1v3ooF930KR3W7VlM7Mzbl,Pressure Roll,0.731,1.2e-05,130.004,0.914,0.945,7,0.238,1,0.406,0.0288,3,5
3yaAqfGcXeC02j88iaoebG,Fold,0.792,0.0485,128.002,0.84,0.861,2,0.0476,1,0.0869,0.107,4,5
5HWybXhMxw8W8t0sUPysxf,Need You,0.692,0.372,128.025,0.698,0.659,6,0.0428,0,0.276,0.0686,5,5
49vNlVxrCBf5WwUCDySVuN,Blood In The Snow - Tibi Dabo Remix,0.79,0.0132,130.99,0.859,0.715,0,0.0476,1,0.47,0.0746,6,5
3MOhipHFUkGpS0rV7cKrJO,Rosewood,0.757,0.0668,121.009,0.485,0.637,10,0.0432,0,0.429,0.191,7,5
0yUaLqhsVsguBpoOPL4cO7,In Ha Mood,0.767,0.678,141.075,1.1e-05,0.722,0,0.31,1,0.52,0.231,8,5
4vworrZL7bZN3Jk4Yh1GJt,Move Your Body (Elevation) [Club Mix],0.709,0.000149,121.97,0.0183,0.76,0,0.0397,1,0.674,0.351,9,5
67Hp634KZbo9B5WMsJOalE,It's a Fine Day,0.606,0.115,125.007,0.0547,0.955,1,0.0462,0,0.285,0.15,10,5
0JL9dXZ2tjMabWjVjeutKH,Polyghost,0.298,0.927,127.917,0.847,0.228,3,0.0367,0,0.0839,0.11,11,5
0wUIiILb3unP1LWA91POJn,Clap Clap,0.798,0.00349,127.993,0.896,0.954,0,0.0856,1,0.233,0.0476,12,5
2jPGZrgcptxJpFV5FXeFZX,Joy,0.777,0.165,123.003,0.86,0.705,5,0.0639,0,0.454,0.157,13,5
6dsZAzOrP9af5rmzGl9Tlr,Lam Phu Thai # 1,0.494,0.356,97.767,0.986,0.579,7,0.041,0,0.773,0.33,1,6
4j69YUUEOMwYZqkZjNOXZu,Time Eater,0.622,0.0683,119.958,0.779,0.888,6,0.0449,1,0.408,0.254,2,6
6gq23eytXyqTtpssL2XORu,Ritual,0.526,0.66,35.694,0.558,0.245,10,0.0327,0,0.289,0.113,3,6
7rSSc78daZLuk6cvE2onJk,Jnt,0.701,0.0782,122.942,0.872,0.544,8,0.0748,1,0.0792,0.11,4,6
5p0Qo3kg0tULw2rcRpqi1e,J.B.Y.,0.643,0.647,95.019,0.848,0.633,7,0.0418,0,0.136,0.109,5,6
43a5eytnLzXlKdmf8JB9er,Mechanical Turk (Courtesy of Karpov not Kasparov),0.625,0.0182,113.022,0.771,0.633,2,0.0403,1,0.676,0.0499,6,6
1enynlph69y9FEW7NVhkO3,Csay Csay,0.73,0.218,113.274,0.472,0.601,6,0.0422,0,0.0625,0.0652,7,6
4Yiy714hPjl1kVoOgQirz0,Sounding Line 3,0.817,0.0894,115.015,0.818,0.672,10,0.0552,0,0.493,0.136,8,6
4i15m6DrqNMC8WPllDn3hl,Atomic Bomb - Cover,0.834,0.0145,125.798,0.27,0.56,8,0.044,0,0.778,0.446,9,6
5QdpQ25GDopAj9Crq1J8l0,Kiburu's,0.742,0.0236,119.997,0.00165,0.924,1,0.168,1,0.746,0.357,10,6
4rn7EkBbUgbI7szafLYTUx,See Some Light - LowHeads Night Mix,0.807,0.000714,118.985,0.687,0.838,7,0.0518,1,0.134,0.105,11,6
5eaAfrNGUeCpV9m6WETbrW,Umami,0.777,0.0303,120.015,0.576,0.888,1,0.0404,1,0.47,0.0873,12,6
7CuagiGvDjxrIXka5R2fGu,Desmond's Empire,0.758,0.0515,120.01,0.0861,0.672,11,0.0455,1,0.178,0.114,13,6
3tTShgfoXI7p9wN6o9F1T8,Velvet Coffin Pt. 1,0.293,0.524,92.278,0.367,0.76,6,0.308,1,0.119,0.14,14,6
77PMEc4VapQ93om4Znocyd,It's Here,0.548,0.886,114.499,0.47,0.474,3,0.0757,0,0.432,0.107,15,6
46AGuB3RXz6UaIFERcJOq4,Room In Here,0.643,0.269,86.985,4.73e-06,0.894,6,0.374,0,0.459,0.257,16,6
5I1LDaX9jk3sKRErMZJyVm,Blicka Blicka,0.561,0.605,125.078,0.00216,0.586,8,0.214,1,0.243,0.345,17,6
3u2uw79iGcveCDxYgm60ft,Sadeo,0.42,0.915,98.624,0.00123,0.257,0,0.0359,1,0.0838,0.115,18,6
3bPlMzfHJMYqdAC80NLPTb,Remember the Rain,0.519,0.74,136.062,0.0199,0.402,6,0.0304,1,0.51,0.108,19,6
5pdXvqbNN5kdR3yP28kbZE,グッド・バイ・マイ・ラブ,0.407,0.645,118.764,5.47e-06,0.478,3,0.032,1,0.447,0.0912,20,6
2e7cqTtXsEmSwrFRHUXA8F,Junun,0.465,0.26,155.022,0.00838,0.866,11,0.0863,1,0.84,0.155,21,6
0E2oFVLYPo9Zy8iRuvdOsO,Calypso Breakdown,0.582,0.353,116.14,0.739,0.976,9,0.0409,1,0.962,0.042,22,6
3Kk09UY1BMfazXZ2LW0NdM,Still There - Max Cooper Remix,0.676,0.0956,119.001,0.858,0.589,6,0.0451,1,0.615,0.0803,23,6
6bggJGFDwd8ZzSK535TW93,Cirrus,0.64,0.391,119.038,0.93,0.845,2,0.0374,0,0.365,0.0826,1,7
20ieXcjQBv4ePXkWxhvKPV,More Than Me,0.851,0.00383,117.994,0.38,0.714,9,0.0476,0,0.414,0.0213,2,7
5gZQ4zObUQdHMz1ZvY8ZHr,Straight & Arrow,0.876,0.018,115.996,0.941,0.584,1,0.0727,1,0.3,0.0698,3,7
6KuF6uqMIvaafrF1LCWcEg,Matthew and Toby - Four Tet Remix,0.744,0.572,125.007,0.94,0.483,7,0.0438,1,0.281,0.107,4,7
3wOvsTasHWNjKylBslUtL7,Sapphire,0.641,0.048,135.024,0.612,0.631,0,0.0312,0,0.0549,0.137,5,7
3XxUrQjvqK1J6ApLK7E8G0,What's There,0.682,0.0295,131.035,0.84,0.669,4,0.0437,0,0.336,0.129,6,7
6WvMiJ7yIczj0GqNQ8ADjz,Kiara (Cosmin TRG Remix),0.593,0.0112,124.987,0.905,0.892,2,0.052,1,0.1,0.0897,7,7
3pXQeUeMYYxdBouICpd0L2,Pyre,0.803,0.0545,131.009,0.827,0.526,9,0.0656,0,0.105,0.0732,8,7
3NcXSz4d3J7IfUjfNlT4CV,ARP3,0.824,0.0372,124.943,0.918,0.596,5,0.0936,0,0.27,0.0751,9,7
6xGFUqbhwuDPkcYceJh1P6,All In Forms (Mike Slott Remix),0.313,0.0821,77.578,0.822,0.633,9,0.0852,1,0.111,0.0571,10,7
3WoWUUWs3zmFKegVLt2oWD,Eyesdown (Machinedrum Remix),0.33,0.000181,159.943,0.892,0.929,1,0.0973,1,0.434,0.0945,11,7
4x0WzGuKSqZkDKi0N69CLd,Bax,0.788,0.000754,134.023,0.882,0.733,11,0.0519,0,0.8,0.0626,12,7
6jhm7KeidwkYSop3tWEpCR,Flicker - Mixed,0.68,0.0371,121.001,0.8,0.719,6,0.0425,1,0.0931,0.0825,1,8
70ty8QsYOKx9PGCADJSdA3,Boston Common - Mixed,0.842,0.03,121.096,0.508,0.782,3,0.134,0,0.742,0.0308,2,8
62MG9pET1R6tK2LEhQp0HX,Jacquot (Waters Of Praslin) - Mixed,0.617,0.00253,122.876,0.937,0.898,2,0.0402,1,0.395,0.13,3,8
5X77TGdnwDWETSRNlxkOOZ,Hidden Tropics - Mixed,0.683,0.158,123.051,0.881,0.937,5,0.0413,0,0.531,0.0907,4,8
63SN0vwhCmYBcBSvaHb5td,Nia - Mixed,0.407,6.28e-05,122.833,0.904,0.788,6,0.0351,1,0.301,0.115,5,8
4tUA0XgKiEigUywHbtkdLX,Maia - Mixed,0.592,0.131,122.992,0.911,0.829,10,0.0345,0,0.254,0.109,6,8
2yVvaMeR6fHEJnVDYAtX2R,Cold Harbour - Mixed,0.744,0.177,123.015,0.925,0.863,1,0.063,1,0.309,0.108,7,8
2hktBdwqtF6YKWKiI3IHld,Ibrik - Mixed,0.746,0.179,122.997,0.923,0.616,5,0.0901,0,0.0992,0.119,8,8
3ebBvdXiKSm4F7KnlYwIGr,Femenine - Mixed,0.597,0.241,123.02,0.906,0.541,3,0.0308,1,0.149,0.156,9,8
37uU8o0cTjkpQO5iLRtpin,TKOTN - Mixed,0.793,0.0038,125.009,0.872,0.807,10,0.0497,0,0.471,0.0957,10,8
6skQUzz3MsUz2coLt9cNIr,Sacred - Mixed,0.659,0.00919,125.002,0.816,0.842,1,0.0325,1,0.457,0.134,11,8
0O9KJ1I2AVsWV2WVOhH7cn,By Your Side - Mixed,0.58,0.0282,124.986,0.904,0.949,1,0.0363,1,0.179,0.202,12,8
5e0Re9ZTGAdneMANQGnBFv,Buzzard Walk - Mixed,0.379,0.0265,124.931,0.736,0.751,1,0.0502,1,0.153,0.433,13,8
0z5IvI7mWc0ovidkaqqPGw,Focus - Mixed,0.672,0.0928,125.002,0.000408,0.787,6,0.0528,1,0.924,0.253,14,8
7nJYAX12wBFayluex9EEpd,Roach - Mixed,0.786,0.000966,125.034,0.919,0.798,11,0.0554,0,0.732,0.126,15,8
4kTnzCEM0ySHMf8nSCqLB5,Perpetrator - Mixed,0.49,0.000233,125.067,0.703,0.83,8,0.0701,1,0.198,0.329,16,8
5wt8xyRZ2w0FXajMTXb8kZ,Mirapolis (Laurent Garnier Remix) - Mixed,0.533,0.0498,125.009,0.931,0.743,10,0.0446,0,0.249,0.591,17,8
2OrDR0g9cuZPyxhpmgXXPA,Rheged - Mixed,0.689,0.0172,125.027,0.563,0.783,8,0.0391,1,0.157,0.0965,18,8
5RFqOADZPlCiP6PEW71ahg,The Way - Mixed,0.738,0.00192,126.053,0.0355,0.609,10,0.0551,0,0.558,0.155,19,8
5WvOk9rHuKBtf9U6qAErcF,Stargard - Mixed,0.658,0.118,126.075,0.308,0.771,6,0.035,1,0.91,0.0923,20,8
4qmaEfAe4UHGVBDMZp9xnn,If You (Club Mix) - Mixed,0.636,0.049,126.935,0.953,0.716,10,0.0319,0,0.37,0.221,21,8
3PmJIGRY68TUPmhfAe9Prz,Collage Of Dreams - Mixed,0.494,0.51,127.004,0.922,0.693,8,0.0372,0,0.0864,0.102,22,8
5EGJ7e7frJjYja6H4afzoT,Bambro Koyo Ganda,0.723,0.21,115.518,0.334,0.571,1,0.0572,1,0.185,0.133,1,9
0UoXzSgRU5Igibr2Wntm9w,Elephants - Original Mix,0.759,0.0387,117.997,0.827,0.402,10,0.082,0,0.0854,0.101,2,9
3FeosxZcVBWesL8jTMtVbk,Split Wick,0.803,0.00332,122.008,0.916,0.576,1,0.051,0,0.203,0.0721,3,9
1wUi98zKIqQqeJaSsORKqm,Wrong Diagonal,0.803,1.18e-05,123.021,0.89,0.685,7,0.0507,1,0.0648,0.216,4,9
3rCtueI7qBN2kZBZnXuk5K,Linked,0.713,0.539,122.041,0.886,0.725,6,0.0385,1,0.24,0.111,5,9
7sqgV3wwdHFWCkaYNJkY7o,Trébucher,0.547,0.0226,124.993,0.748,0.842,6,0.0369,1,0.235,0.66,6,9
3sJCADvtbzgKPzEBHhHSLY,One More Fluorescent Rush,0.612,0.00322,124.877,0.889,0.984,10,0.0335,0,0.398,0.112,7,9
7B4LoQ23Anl4CbUJxHCoYS,Outgrown,0.511,0.0425,127.972,0.916,0.818,1,0.0333,1,0.153,0.0969,8,9
5seZV3dCxExd7Q36KwWh2S,Hey Mama,0.792,0.0196,127.004,0.866,0.693,1,0.0466,1,0.113,0.0653,9,9
7ocA5x1DLDKBHPpFD0K4EF,Bosphorus,0.524,0.0201,124.929,0.597,0.793,10,0.0498,0,0.44,0.0347,10,9
4RTPdgun3QimcZbytzLxOC,Song For Mr. Lewis - Original Mix,0.718,0.0216,127.008,0.851,0.644,10,0.0496,0,0.697,0.0459,11,9
6YcWUCLMUyTaKScNXIG3qI,Stand Up! - Pangaea's Mix,0.437,0.00942,191.208,0.215,0.683,7,0.209,1,0.0837,0.0935,12,9
5fXHswaQRTvzfwTC8CW5Ew,Casa - Axel Boman Dub Mix,0.757,0.0158,124.003,0.874,0.905,11,0.0507,1,0.553,0.0928,13,9
20YfhQiwRzzQgrltg5rGE5,Changa,0.819,0.00414,124.978,0.552,0.754,7,0.192,1,0.632,0.0657,14,9
5DAjrJqXqYtgr67pVhmUeR,Kerala,0.529,0.0237,124.75,0.607,0.739,7,0.0718,0,0.138,0.171,15,9
2ZaL63zLMDr6H18El2EIt9,Rosewood,0.757,0.0668,121.009,0.485,0.637,10,0.0432,0,0.429,0.191,1,10
1uOtAQ7g9zVKf8vh0dcO4d,How Long,0.626,0.0708,119.131,0.0382,0.855,11,0.0583,0,0.194,0.143,2,10
59QNyVtGhYoDnpO6T1e4yR,Otomo,0.667,0.00409,125.994,0.856,0.841,4,0.0423,0,0.0392,0.114,5,10
7aLYQgzGLy8duSSdTJa1ik,Shadows,0.658,0.0913,114.029,0.393,0.576,10,0.036,0,0.593,0.107,6,10
1V2Z18nOByb7DqCECFh2Yt,La Perla - Tourist Remix,0.664,0.0316,124.0,0.892,0.524,7,0.0509,1,0.403,0.176,10,10
3scH3LfC2eyoX4zd5sp759,Sacred,0.792,0.00613,123.018,0.847,0.629,0,0.0444,1,0.417,0.0549,11,10
0ppoT7dGTnY1Y5QKC125bz,Be Good,0.495,0.00314,101.211,0.583,0.494,0,0.0339,1,0.286,0.116,13,10
6aFibEwLZUbMln9c5nwtyQ,Midas - Ben Pearce Re-Edit,0.794,0.163,119.973,0.0575,0.764,9,0.0636,0,0.536,0.241,14,10
5nvBbsER3AjvqnptLds8VP,Heavy - Icarus Remix,0.627,0.00937,122.997,0.886,0.834,10,0.0475,0,0.446,0.0367,15,10
